"uid","namedLocation","domainID","siteID","plotID","setDate","collectDate","processingDate","individualID","geneticSampleID","wellCoordinates","laboratoryName"
"019cb2c2-6cf0-4f0e-9690-15abad12ee37","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2018-09-05T21:41Z","2018-09-06T13:51Z",NA,"MOS.D01.001217","MOS.D01.001217","B5","Kansas Biological Survey"
"eaf60758-b13a-451c-88ea-d4dfa887ab79","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2018-09-05T21:41Z","2018-09-06T13:51Z",NA,"MOS.D01.001286","MOS.D01.001286","H1","Kansas Biological Survey"
"1977fbad-7cb3-4610-9bfb-bb15afcfde25","HARV_073.mosquitoPoint.mos","D01","HARV","HARV_073","2018-09-05T22:05Z","2018-09-06T14:10Z",NA,"MOS.D01.001308","MOS.D01.001308","A11","Kansas Biological Survey"
"67aa1ad0-4b1b-434a-afa7-cafceb16b3a7","HARV_073.mosquitoPoint.mos","D01","HARV","HARV_073","2018-09-05T22:05Z","2018-09-06T14:10Z",NA,"MOS.D01.001285","MOS.D01.001285","G12","Kansas Biological Survey"
"7191dbdc-c54b-440f-96c0-17ed3829f165","HARV_073.mosquitoPoint.mos","D01","HARV","HARV_073","2018-09-05T22:05Z","2018-09-06T14:10Z",NA,"MOS.D01.001209","MOS.D01.001209","A9","Kansas Biological Survey"
"b11fb082-a00a-49e2-b503-f2fdc7492648","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2018-09-06T12:39Z","2018-09-06T20:25Z",NA,"MOS.D01.001377","MOS.D01.001377","G6","Kansas Biological Survey"
"bcafe5fe-665a-48b9-a702-03f34c9df4d4","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2018-09-06T13:34Z","2018-09-06T21:13Z",NA,"MOS.D01.001310","MOS.D01.001310","B1","Kansas Biological Survey"
"87eb0af5-95b4-4a45-ac6a-2e9c353834b9","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2018-09-19T19:40Z","2018-09-20T12:53Z",NA,"MOS.D01.001219","MOS.D01.001219","B7","Kansas Biological Survey"
"503e7539-24ce-4911-8c81-d84cc2ed8f04","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2018-09-19T20:01Z","2018-09-20T13:29Z",NA,"MOS.D01.001397","MOS.D01.001397","A1","Kansas Biological Survey"
"3e2f8315-e198-47ba-9b77-e08d05ce3eb3","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2018-09-19T20:23Z","2018-09-20T13:07Z",NA,"MOS.D01.001368","MOS.D01.001368","F9","Kansas Biological Survey"
"f14fd2ad-dfcd-4c50-b801-e93d9eece0f7","HARV_080.mosquitoPoint.mos","D01","HARV","HARV_080","2018-09-19T20:44Z","2018-09-20T12:33Z",NA,"MOS.D01.001396","MOS.D01.001396","H11","Kansas Biological Survey"
"2e9a5442-ebee-4370-8bc1-2be54bf0362b","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2018-09-19T21:02Z","2018-09-20T12:19Z",NA,"MOS.D01.001370","MOS.D01.001370","F11","Kansas Biological Survey"
"b7c7ff37-2d6f-4a88-92c3-b363ea06850c","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2018-09-19T21:14Z","2018-09-20T11:58Z",NA,"MOS.D01.001395","MOS.D01.001395","H10","Kansas Biological Survey"
"38c72116-995b-483a-89c1-9a8ab5b56fdb","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2018-09-19T21:20Z","2018-09-20T11:51Z",NA,"MOS.D01.001369","MOS.D01.001369","F10","Kansas Biological Survey"
"da098183-19ab-4d23-af1c-1d813195752f","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2018-09-20T11:59Z","2018-09-20T20:07Z",NA,"MOS.D01.001300","MOS.D01.001300","A4","Kansas Biological Survey"
"15ba273c-37d3-4f87-9f58-af85b8a11850","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2018-09-20T12:52Z","2018-09-20T21:04Z",NA,"MOS.D01.001220","MOS.D01.001220","B8","Kansas Biological Survey"
"eaabfa61-6788-4e33-b3e4-48a94b3cf905","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2018-09-20T12:52Z","2018-09-20T21:04Z",NA,"MOS.D01.001299","MOS.D01.001299","A3","Kansas Biological Survey"
"33527cfb-fcf1-4b98-acbf-ea3cb046f7cf","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2018-09-20T13:07Z","2018-09-20T21:19Z",NA,"MOS.D01.001298","MOS.D01.001298","A2","Kansas Biological Survey"
"7d368475-8836-45a5-af58-2067114b1154","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2018-09-20T13:30Z","2018-09-20T21:40Z",NA,"MOS.D01.001290","MOS.D01.001290","H5","Kansas Biological Survey"
"d7cf3b06-8f1a-4c24-94d2-2d6380644fa1","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2018-09-20T13:49Z","2018-09-20T20:03Z",NA,"MOS.D01.001289","MOS.D01.001289","H4","Kansas Biological Survey"
"17546b80-61c1-4eb9-b019-ca103ca87cc9","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2018-10-03T19:21Z","2018-10-04T12:41Z",NA,"MOS.D01.001398","MOS.D01.001398","A2","Kansas Biological Survey"
"9caec10e-c689-4ac2-8fc1-d31060a87ee9","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2018-10-03T20:19Z","2018-10-04T13:45Z",NA,"MOS.D01.001385","MOS.D01.001385","H2","Kansas Biological Survey"
"9fde21ef-0f30-4364-b312-01577b9429fc","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2018-10-04T14:14Z","2018-10-04T20:35Z",NA,"MOS.D01.001380","MOS.D01.001380","G9","Kansas Biological Survey"
"6a23435c-cb2b-4349-ba7c-9741752ba0a9","BLAN_025.mosquitoPoint.mos","D02","BLAN","BLAN_025","2017-05-22T22:21Z","2017-05-23T12:41Z",NA,"MOS.D02.000648","MOS.D02.000648","F12","Kansas Biological Survey"
"c0fc9d6d-0c18-4b6c-95d4-128ee5d1acd3","BLAN_029.mosquitoPoint.mos","D02","BLAN","BLAN_029","2017-05-22T22:37Z","2017-05-23T12:56Z",NA,"MOS.D02.000754","MOS.D02.000754","D6","Kansas Biological Survey"
"3e72f67a-8eb7-481f-aeac-17720ad32435","BLAN_023.mosquitoPoint.mos","D02","BLAN","BLAN_023","2017-05-22T22:49Z","2017-05-23T13:09Z",NA,"MOS.D02.000677","MOS.D02.000677","H5","Kansas Biological Survey"
"426a830b-b507-404b-8ebb-71dec0e0f765","BLAN_026.mosquitoPoint.mos","D02","BLAN","BLAN_026","2017-05-23T13:02Z","2017-05-23T21:30Z",NA,"MOS.D02.000676","MOS.D02.000676","H4","Kansas Biological Survey"
