"domainID","siteID","horizontalPosition","verticalPosition","date","wssPrecipTotal","precipQF"
"D01","HARV","900","000","2018-07-05",0.2,0
"D01","HARV","900","000","2018-07-06",4.4,0
"D01","HARV","900","000","2018-07-07",0.4,0
"D01","HARV","900","000","2018-07-08",0.65,0
"D01","HARV","900","000","2018-07-09",0.72,0
"D01","HARV","900","000","2018-07-10",0.76,0
"D01","HARV","900","000","2018-07-11",0.59,0
"D01","HARV","900","000","2018-07-12",0.15,0
"D01","HARV","900","000","2018-07-13",0.3,0
"D01","HARV","900","000","2018-07-14",0.47,0
"D01","HARV","900","000","2018-07-15",9.87,0
"D01","HARV","900","000","2018-07-16",0.47,0
"D01","HARV","900","000","2018-07-17",33.32,0
"D01","HARV","900","000","2018-07-18",0.44,0
"D01","HARV","900","000","2018-07-19",0.39,0
"D01","HARV","900","000","2018-07-20",0.71,0
"D01","HARV","900","000","2018-07-21",0.58,0
"D01","HARV","900","000","2018-07-22",6.22,0
"D01","HARV","900","000","2018-07-23",36.69,0
"D01","HARV","900","000","2018-07-24",7.84,0
"D01","HARV","900","000","2018-07-25",1.67,0
"D01","HARV","900","000","2018-07-26",14.06,0
"D01","HARV","900","000","2018-07-27",0.64,0
"D01","HARV","900","000","2018-07-28",8.14,0
"D01","HARV","900","000","2018-07-29",1,0
"D01","HARV","900","000","2018-07-30",0.72,0
"D01","HARV","900","000","2018-07-31",0.54,0
"D01","HARV","900","000","2018-08-01",7.24,0
"D01","HARV","900","000","2018-08-02",0.29,0
"D01","HARV","900","000","2018-08-03",7.56,0
"D01","HARV","900","000","2018-08-04",16.11,0
"D01","HARV","900","000","2018-08-05",0.87,0
"D01","HARV","900","000","2018-08-06",0.5,0
"D01","HARV","900","000","2018-08-07",12.02,0
"D01","HARV","900","000","2018-08-08",15.61,0
"D01","HARV","900","000","2018-08-09",5.09,0
"D01","HARV","900","000","2018-08-10",0.75,0
"D01","HARV","900","000","2018-08-11",17.53,0
"D01","HARV","900","000","2018-08-12",57.62,0
"D01","HARV","900","000","2018-08-13",3.84,0
"D01","HARV","900","000","2018-08-14",11.2,0
"D01","HARV","900","000","2018-08-15",0.5,0
"D01","HARV","900","000","2018-08-16",0.48,0
"D01","HARV","900","000","2018-08-17",1.26,0
"D01","HARV","900","000","2018-08-18",16.86,0
"D01","HARV","900","000","2018-08-19",0.93,0
"D01","HARV","900","000","2018-08-20",0.91,0
"D01","HARV","900","000","2018-08-21",0.62,0
"D01","HARV","900","000","2018-08-22",15.38,0
"D01","HARV","900","000","2018-08-23",0.75,0
"D01","HARV","900","000","2018-08-24",0.53,0
"D01","HARV","900","000","2018-08-25",1.24,0
"D01","HARV","900","000","2018-08-26",1.1,0
"D01","HARV","900","000","2018-08-27",0.95,0
"D01","HARV","900","000","2018-08-29",0.69,0
"D01","HARV","900","000","2018-08-30",1.08,0
"D01","HARV","900","000","2018-08-31",0.71,0
"D01","HARV","900","000","2018-09-01",0.62,0
"D01","HARV","900","000","2018-09-02",1.02,0
"D01","HARV","900","000","2018-09-03",0.14,0
"D01","HARV","900","000","2018-09-04",0.63,0
"D01","HARV","900","000","2018-09-05",0.38,0
"D01","HARV","900","000","2018-09-06",1.47,0
"D01","HARV","900","000","2018-09-07",0.47,1
"D01","HARV","900","000","2018-09-08",0.47,0
"D01","HARV","900","000","2018-09-09",1.24,0
"D01","HARV","900","000","2018-09-10",9.31,0
"D01","HARV","900","000","2018-09-11",23.65,0
"D01","HARV","900","000","2018-09-12",1.98,0
"D01","HARV","900","000","2018-09-13",2.21,0
"D01","HARV","900","000","2018-09-14",0.85,0
