"domainID","siteID","horizontalPosition","verticalPosition","date","wssShortRadMean","wssShortRadMinimum","wssShortRadMaximum","wssShortRadVariance","wssShortRadStdErMean","wssShortRadNumPts","shortRadQF"
"D01","HARV","000","060","2018-01-26",130.7,-1.56,540.12,37905.88,0.66,86400,0
"D01","HARV","000","060","2018-01-27",111.78,-1.36,541.5,32224.03,0.61,86400,0
"D01","HARV","000","060","2018-01-28",60.29,-1.28,457.43,8907.92,0.32,86400,0
"D01","HARV","000","060","2018-01-29",92.49,-1.4,615.32,28929.79,0.59,84078,0
"D01","HARV","000","060","2018-01-30",43.09,-1.04,195.19,4187.23,0.22,86400,0
"D01","HARV","000","060","2018-01-31",119.33,-1.42,596.37,31472.47,0.6,86400,0
"D01","HARV","000","060","2018-02-01",46.95,-1.08,271.22,5280.89,0.25,86400,0
"D01","HARV","000","060","2018-02-02",130.57,-1.44,895.55,45498.19,0.73,86400,0
"D01","HARV","000","060","2018-02-03",143.05,-1.47,587.55,43548.37,0.71,86400,0
"D01","HARV","000","060","2018-02-04",59.34,-1.38,393.43,11349.12,0.36,86400,0
"D01","HARV","000","060","2018-02-05",109.81,-1.79,785.82,37325.15,0.66,86400,0
"D01","HARV","000","060","2018-02-06",60.55,-1.52,895.21,12425.33,0.38,86400,0
"D01","HARV","000","060","2018-02-07",18.22,-1.6,110.83,782.1,0.1,86400,0
"D01","HARV","000","060","2018-02-08",138.83,-1.72,950.53,48882.1,0.75,86400,0
"D01","HARV","000","060","2018-02-09",81.31,-1.7,405.02,14432.2,0.41,86400,0
"D01","HARV","000","060","2018-02-10",29.96,-0.97,253.74,2374.1,0.17,86400,0
"D01","HARV","000","060","2018-02-11",16.45,-1.03,133.11,736.46,0.09,86400,0
"D01","HARV","000","060","2018-02-12",90.11,-1.56,817.39,21883.48,0.51,85570,0
"D01","HARV","000","060","2018-02-13",152.15,-1.6,668.08,49113.48,0.75,86400,0
"D01","HARV","000","060","2018-02-14",109.15,-1.47,879.83,27234.88,0.56,86400,0
"D01","HARV","000","060","2018-02-15",47.93,-1.49,355.26,5790.45,0.26,86400,0
"D01","HARV","000","060","2018-02-16",21.61,-1.51,139.53,1248.04,0.12,86400,0
"D01","HARV","000","060","2018-02-17",138.78,-1.67,722.97,47489.51,0.74,86400,0
"D01","HARV","000","060","2018-02-18",167.33,-1.44,767.14,59435.81,0.83,86400,0
"D01","HARV","000","060","2018-02-19",110.11,-1.54,816.12,37191.39,0.66,86400,0
"D01","HARV","000","060","2018-02-20",96.55,-1.42,830.07,24313.67,0.53,86400,0
"D01","HARV","000","060","2018-02-21",110.29,-1.45,815.78,37174.67,0.66,86400,0
"D01","HARV","000","060","2018-02-22",31.52,-1.24,216.3,2193.21,0.16,86400,0
"D01","HARV","000","060","2018-02-23",60.79,-1.31,983.46,10437.08,0.35,86400,0
"D01","HARV","000","060","2018-02-24",98.62,-1.2,939.78,32924.87,0.62,86400,0
"D01","HARV","000","060","2018-02-25",19.56,-1.42,180.27,963.79,0.11,86400,0
"D01","HARV","000","060","2018-02-26",39.21,-1.26,423.04,7403.74,0.37,53948,1
"D01","HARV","000","060","2018-02-27",NA,NA,NA,NA,NA,0,1
